dispnum,ccode1,ccode2,year,midongoing,midonset,sidea1,sidea2,revstate1,revstate2,revtype11,revtype12,revtype21,revtype22,fatality1,fatality2,fatalpre1,fatalpre2,hiact1,hiact2,hostlev1,hostlev2,orig1,orig2,hiact,hostlev,mindur,maxdur,outcome,settle,fatality,fatalpre,stmon,endmon,recip,numa,numb,ongo2010,version
2645,390,255,1917,1,0,0,1,0,1,0,2,-9,-9,0,0,0,0,0,16,1,4,1,1,16,4,1073,1073,8,3,0,0,4,3,0,1,1,0,gml-2.1.1
2645,390,255,1918,1,0,0,1,0,1,0,2,-9,-9,0,0,0,0,0,16,1,4,1,1,16,4,1073,1073,8,3,0,0,4,3,0,1,1,0,gml-2.1.1
2646,91,255,1918,1,1,1,0,0,0,0,0,-9,-9,0,0,0,0,18,0,4,1,1,1,18,4,1,1,9,4,0,0,7,7,0,1,1,0,gml-2.1.1
2646,255,91,1918,1,1,0,1,0,0,0,0,-9,-9,0,0,0,0,0,18,1,4,1,1,18,4,1,1,9,4,0,0,7,7,0,1,1,0,gml-2.1.1
2647,90,255,1918,1,1,1,0,0,0,0,0,-9,-9,0,0,0,0,18,0,4,1,1,1,18,4,1,1,9,4,0,0,4,4,0,1,2,0,gml-2.1.1
2647,90,300,1918,1,1,1,0,0,,0,-9,-9,-9,0,0,0,0,18,0,4,1,1,1,18,4,1,1,9,4,0,0,4,4,0,1,2,0,gml-2.1.1
2647,255,90,1918,1,1,0,1,0,0,0,0,-9,-9,0,0,0,0,0,18,1,4,1,1,18,4,1,1,9,4,0,0,4,4,0,1,2,0,gml-2.1.1
2647,300,90,1918,1,1,0,1,,0,-9,0,-9,-9,0,0,0,0,0,18,1,4,1,1,18,4,1,1,9,4,0,0,4,4,0,1,2,0,gml-2.1.1
2648,220,350,1916,1,1,1,0,0,0,0,0,-9,-9,0,0,0,0,14,0,4,1,1,1,14,4,183,183,5,3,0,0,1,7,0,1,1,0,gml-2.1.1
2648,350,220,1916,1,1,0,1,0,0,0,0,-9,-9,0,0,0,0,0,14,1,4,1,1,14,4,183,183,5,3,0,0,1,7,0,1,1,0,gml-2.1.1
2649,255,710,1917,1,1,0,1,0,0,0,0,-9,-9,0,0,0,0,0,21,1,5,1,1,21,5,187,187,9,3,0,0,2,8,0,1,2,0,gml-2.1.1
2649,300,710,1917,1,1,0,1,0,0,0,0,-9,-9,0,0,0,0,0,21,1,5,0,1,21,5,187,187,9,3,0,0,2,8,0,1,2,0,gml-2.1.1
2649,710,255,1917,1,1,1,0,0,0,0,0,-9,-9,0,0,0,0,21,0,5,1,1,1,21,5,187,187,9,3,0,0,2,8,0,1,2,0,gml-2.1.1
2649,710,300,1917,1,1,1,0,0,0,0,0,-9,-9,0,0,0,0,21,0,5,1,1,0,21,5,187,187,9,3,0,0,2,8,0,1,2,0,gml-2.1.1
2683,41,200,1887,1,1,0,1,1,0,2,0,-9,-9,0,0,0,0,0,1,1,2,1,1,1,2,29,29,4,1,0,0,3,4,0,1,1,0,gml-2.1.1
2683,200,41,1887,1,1,1,0,0,1,0,2,-9,-9,0,0,0,0,1,0,2,1,1,1,1,2,29,29,4,1,0,0,3,4,0,1,1,0,gml-2.1.1
2700,365,710,1919,1,1,0,1,0,1,0,2,-9,-9,0,0,0,0,16,7,4,3,1,1,16,4,87,117,3,3,0,0,7,10,1,1,1,0,gml-2.1.1
2700,710,365,1919,1,1,1,0,1,0,2,0,-9,-9,0,0,0,0,7,16,3,4,1,1,16,4,87,117,3,3,0,0,7,10,1,1,1,0,gml-2.1.1
2704,365,710,1946,1,1,1,0,1,0,3,0,-9,-9,0,0,0,0,14,0,4,1,1,1,14,4,92,92,2,3,0,0,2,5,0,1,1,0,gml-2.1.1
2704,710,365,1946,1,1,0,1,0,1,0,3,-9,-9,0,0,0,0,0,14,1,4,1,1,14,4,92,92,2,3,0,0,2,5,0,1,1,0,gml-2.1.1
2707,365,710,1964,1,1,1,0,1,1,1,1,-9,-9,0,0,0,0,7,0,3,1,1,1,7,3,366,366,5,3,0,0,7,7,0,1,1,0,gml-2.1.1
2707,365,710,1965,1,0,1,0,1,1,1,1,-9,-9,0,0,0,0,7,0,3,1,1,1,7,3,366,366,5,3,0,0,7,7,0,1,1,0,gml-2.1.1
2707,710,365,1964,1,1,0,1,1,1,1,1,-9,-9,0,0,0,0,0,7,1,3,1,1,7,3,366,366,5,3,0,0,7,7,0,1,1,0,gml-2.1.1
2707,710,365,1965,1,0,0,1,1,1,1,1,-9,-9,0,0,0,0,0,7,1,3,1,1,7,3,366,366,5,3,0,0,7,7,0,1,1,0,gml-2.1.1
2708,365,710,1965,1,1,1,0,1,1,1,1,-9,-9,0,0,0,0,7,7,3,3,1,1,7,3,16,46,5,3,0,0,12,1,1,1,1,0,gml-2.1.1
